shift,Han,Sami1,Sami2,Perry1,Perry2,Tony1,Tony2,Mack,Jason,Ray
20,0.5279729427753074,0.5010481955848198,0.4819031383675414,0.5767526349344112,0.5545525332830333,0.5213971244553288,0.5045629600714736,0.5454150776461841,0.3879167394242021,0.46039399745888765
21,0.5144018938024446,0.4985276188294109,0.4791452618073562,0.5772888719212559,0.5537036333872676,0.5247829284669301,0.5096888374645594,0.5469384477911239,0.39438190269722934,0.45449023242422437
22,0.5229553674874119,0.49533718738900356,0.47218884730229865,0.5770733094260387,0.5543742283905266,0.5221069010172885,0.49563232259991535,0.5399323377109713,0.38804543472991265,0.43982546796418986
23,0.525271045191154,0.4847864549306301,0.4695659660640493,0.577336494635774,0.5593572818831021,0.5283188078374889,0.5050226335565812,0.5411293724819368,0.392036803556339,0.4518833231964131
24,0.5253537921488965,0.48164383906897135,0.4723343121285415,0.5714910366611181,0.5554416676113447,0.5304148431587301,0.5003873670497446,0.5508874142802664,0.39648331523068137,0.45146512818243334
25,0.5229985939048847,0.4753504803284175,0.4646986964098755,0.5738724009559977,0.5487500211971493,0.5296508850971519,0.5010462891577971,0.5524931252222578,0.38003670991679406,0.44958701546205804
26,0.5051410566087322,0.47563291913219363,0.46743583530433097,0.5742668457154557,0.5505911008947816,0.5286460519198173,0.5138700757139942,0.5534649615459929,0.3821281404648843,0.45333524057830193
27,0.5139362053144474,0.47572154107892506,0.46729324250822774,0.5733357373758983,0.5506977899269139,0.5297522557781216,0.5026195126152644,0.5586434945794947,0.37837090547094687,0.4565430649839829
28,0.515255294690901,0.46967314374887636,0.46733823335092584,0.5774140416582669,0.5529990091365484,0.5340768758204504,0.5099992643197706,0.5617941999673037,0.3751022557131247,0.4695878246880845
29,0.5227326109198239,0.46659272763457826,0.4733337265893077,0.578297273679549,0.5499239146225969,0.5351470254680692,0.5034392614509018,0.5678750601470434,0.3798064231801207,0.46582172653601517
30,0.5303281403090843,0.46376312268766673,0.4623918184215761,0.5868308058012677,0.5425153835678798,0.5282259453307955,0.5063716953217715,0.5661945545930451,0.367195169654272,0.46833446639985676
